COMMODITY_DESCRIPTION,Total_ITM_TOT_AM,Total_QUANTITY,Count_PURCHASE_ORDER
"Trucks, Cab and Chassis Only",7514357.16,81.0,48
Trucks (Over One Ton Capacity),2504887.7600000002,33.0,23
"Sweepers, Drag Brooms, etc. and Parts (See Class 3",2484602.5500000003,9.0,10
"Application Software, Microcomputer",799718.52,772.0,126
"Work Stations, Modular, Systems Furniture",653809.08,61.0,67
"POLES, EMBEDDED STEEL",576129.25,83.0,14
"SWITCHGEARS AND PARTS, METAL CLAD",373714.25,26.0,5
"Rescue Equipment, Supplies and Accessories Includi",373573.99,207.0,66
Baggage Handling Equipment and Parts,365495.22,368.0,12
"Pole Line Hardware: Anchors, Arms, Bolts, Braces,",364859.69,3961.0,35
"INSULATORS AND PARTS, POLE LINE",326967.25,18059.0,10
"Switches, Miscellaneous",322923.83,1562.0,39
"Souvenirs: Promotional, Advertising, etc.",279198.8,244423.7,172
Sewer Inspection Equipment,267910.57,65.0,24
"Cavity Pumps, Progressive",240888.1,69.0,29
"Transformers, Power Distribution (Incl. Fluid Fill",231817.8,75.0,14
"Library Supplies, Miscellaneous",227819.66,19562.0,26
"EXERCISE EQUIPMENT, AND PARTS AND ACCESSORIES",218140.83000000002,8181.58,47
POLICE EQUIPMENT AND SUPPLIES,215730.67,522.0,18
"Building Cables and Wires, Single and Multiconduct",176962.1,62451.0,24
"Monitors, Color and Monochrome (CGA, VGA, SVGA, et",168383.13999999998,234.0,44
"Library Furniture: Book Trucks, Card Cabinets, Car",162321.12,3.0,57
Audio Visual Equipment and Supplies (Not Otherwise,157280.21,125.0,33
FURNITURE: OFFICE,144671.74,150.0,77
Sand and Gravel,143368.81,7800.1900000000005,30
"Bus Bars, Duct, and Accessories",141216.14,4817.0,6
"Network Components: Adapter Cards, Bridges, Connec",128986.11,562.0,93
"Meters, Indicating and Recording of Power Consumpt",125305.5,11883.0,21
"Circuit Breakers, Load Centers, Boxes, and Panelbo",125065.23,2676.0,31
"Microcomputers, Handheld, Laptop, and Notebook",122671.19,151.0,52
"Fiber Optics Cables, Interconnecting Components, a",120143.38,1259.0,27
Fire Protection and Crash Rescue Bodies,120000.0,1.0,1
"SWITCHES, COMPUTER, NETWORK",116252.68,39.0,4
Street Light Poles and Standards,116003.4,174.0,17
"Lighting Fixtures, Outdoor: Floodlights, Spotlight",114430.85,1431.31,9
"JANITORIAL SUPPLIES, GENERAL LINE",114186.09999999999,2843.6,115
"SPLICES, WIRE/CABLE, COMPRESSION",108414.8,391.0,4
COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTE,108130.01,582.0,20
"Swimming Pools, Equipment, and Supplies (Including",106781.61,115.0,20
"Printers, Laser",99610.27,403.0,34
"TIRES, TUBES, LINERS & VALVES",95982.61,46.0,38
"Wiring Devices: Adapters, Caps, Connectors, Extens",95506.21,1222.0,35
Access Control Systems and Security Systems,93382.45,260.0,14
"Microcomputers, Desktop or Towerbased",89713.37,103.0,40
"RELAYS, ELECTRONIC",87677.6,52.0,12
"Scanners, Document: Handheld, Desktop and High Vol",81483.65,150.0,26
FIRE PROTECTION EQUIPMENT AND SUPPLIES,80506.69,887.0,10
"Sewage and Sludge Pumps, Submersible",80473.33,54.0,33
"WIRE, BARE ALUMINUM",79763.2,28790.0,2
"Benches, Park (Including Bus Stop Benches)",78636.5,801.0,17
"CAMERAS, DIGITAL TYPE (INCL. DIGITAL NETWORK CAMERAS)",76845.86,53.0,11
"TRANSFORMERS, CONSTANT CURRENT, MOVING COIL TYPE",76450.59,133.0,7
COMPUTER ACCESSORIES AND SUPPLIES,73879.04,589.0,57
"CONNECTORS, BUS",73352.11,1895.0,19
"Lighting Fixtures, Indoor: All Kinds and Parts (In",70194.76,302.0,13
Freight and Cargo Containers (Shipping) (See Class,69110.87,35.03,82
Golf Course Maintenance Tools and Equipment (For L,68072.85,0.0,10
"Communications: Networking, Linking, etc.",67742.8,184.0,12
Training Aids and Instructional Equip. and Supplie,66916.56,353.0,19
Telecommunication Parts and Accessories (Not Other,65967.57,45.0,7
"Guns, Pistols, Rifles, and Shotguns",64716.54,739.0,11
Golfing Equipment,64155.67,241.0,30
TRANSFORMER PARTS AND ACCESSORIES,62426.399999999994,64.0,5
"Oil, Chemical, and Hazardous Material Spill Absorb",61816.01,326.0,13
"Fire Alarm Systems, Power Sirens, and Controls",60789.38,6.0,19
Novelties and Advertising Specialty Products,60733.17,19822.0,34
"Air Conditioners: Commercial, and Parts and Access",59265.38,17.0,16
ACCESSORIES FOR LAPTOP COMPUTER,58557.37,256.0,43
"CAMERAS, VIDEO",58394.91,703.0,15
"Motor Controllers, Contactors, Push Button Station",54238.59,174.0,21
