LGL_NM,Total_ITM_TOT_AM,Total_QUANTITY,Count_PURCHASE_ORDER
CHASTANG ENTERPRISES INC,2338748.0,14.0,7
LONGHORN INTERNATIONAL TRUCKS LTD,2303498.43,13.0,8
PHILPOTT MOTORS LTD,2156422.15,46.0,33
COOPER EQUIPMENT CO INC,1971858.6,6.0,3
SANTEX TRUCK CENTER LTD,1459890.0,11.0,6
TECHLINE INC,909760.88,7463.0,76
KBS ELECTRICAL DISTRIBUTORS INC,794696.02,54121.0,66
POWER SUPPLY INC,599569.75,806.0,26
GRAPEVINE DODGE CHRYSLER JEEP LLC,526030.87,8.0,6
SILSBEE FORD INC,443853.9,17.0,9
MCCOY-ROCKFORD INC,393980.57999999996,26.0,22
PRIESTER-MELL & NICHOLSON INC,392526.43,15830.0,49
SIEMENS INDUSTRY INC,298837.8,76.0,8
METRO FIRE APPARATUS SPECIALISTS INC,290260.67000000004,12.0,17
LENCO INDUSTRIES INC,270315.0,1.0,1
TYMCO INC,257752.8,1.0,1
CDW GOVERNMENT INC,238173.26,843.0,98
TEXAN WASTE EQUIPMENT INC,222597.0,1.0,1
TEXAS ELECTRIC COOPERATIVES,221152.1,9010.0,16
AUSTIN TRUCK & EQUIPMENT INC LTD,189532.06,1.0,2
INSIGHT PUBLIC SECTOR INC,179515.78,326.0,108
ROCKFORD BUSINESS INTERIORS,166039.41,85.0,44
"StopTech, Ltd.",154445.6,443.0,5
"CompSol, Inc.",150002.16,716.0,91
FARBER SPECIALTY VEHICLES,149983.0,1.0,1
SANTEX TRUCK CENTERS LTD,138380.0,1.0,1
SIRSI CORPORATION,137272.0,176.0,2
SIDDONS FIRE APPARATUS INC,120000.0,1.0,1
DEBORA WITT JONES,113354.3,140775.0,93
HILL COUNTRY ELECTRIC SUPPLY,112511.9,22273.28,59
WORKPLACE RESOURCE LLC,111193.81,33.0,25
Netsync Network Solutions,107968.0,6.0,2
FITNESS IN MOTION,102182.37,20.0,11
ELXSI INC,100021.95000000001,13.0,6
MOTOROLA SOLUTIONS INC,94572.79999999999,88.0,3
PROFESSIONAL TURF PRODUCTS L P,89473.27,1.0,4
GLOBE ELECTRIC SUPPLY CO INC,88984.94,21621.0,10
SMITH PUMP CO INC,83837.36,66.0,14
FMW DISTRIBUTORS INC,83616.16,108.0,19
AFMA INC,83123.25,126.0,55
FARMER'S COPPER LTD,80550.0,165.0,2
VISUAL INNOVATIONS CO INC,79736.65,25.0,10
CDW LLC,75893.99,218.0,41
SHI-GOVERNMENT SOLUTIONS INC,73554.47,129.0,18
DLT SOLUTIONS LLC,69582.0,11.0,7
ENVIRONMENTAL IMPROVEMENTS INC,68783.5,7.0,6
GRAYBAR ELECTRIC CO INC,63029.61,2168.5,18
"WESCO DISTRIBUTION, INC.",62256.54,504.0,6
DEMCO INC,61412.76,0.0,34
SHELTON-KELLER GROUP INC,60800.97,0.0,9
"Atlas Inspection Technologies, LLC",60555.5,5.0,5
Q-STAR TECHNOLOGY LLC,59768.0,5.0,3
HAGEMEYER NORTH AMERICA INC,59246.009999999995,270.0,13
BRUNSWICK CORPORATION,57532.39,0.0,3
TEXAS METER & DEVICE CO L L C,56604.68,700.0,7
OSBURN MATERIALS INC,56239.89,2354.0,2
LOGICAL CONCEPTS INC,54091.99,155.0,7
"CRAWFORD ELECTRIC SUPPLY COMPANY, INC",54002.5,578.0,27
COMMUNICATIONS SUPPLY CORP,54000.0,9.0,1
D REYNOLDS COMPANY LP,53533.26,77.0,14
SEEPEX INC,52758.43,10.0,5
MACAULAY CONTROLS CO,52555.0,36.0,4
PAUL E ALLEN CO INC,52306.0,15.0,5
GULF COAST PAPER CO INC,51687.76,1528.6,71
SIMPLEX GRINNELL L P,50447.55,0.0,7
VULCAN SIGNS INC,50060.6,3980.0,7
Camlin Power Inc,49700.0,1.0,1
Duncanville Automotive LLC,48613.0,1.0,1
"Nomar Enterprises, LLC",48350.0,30.0,3
LBI GROUP COMPANIES INC,45349.4,17060.0,2
LASER TECHNOLOGY INC,45162.0,26.0,1
"Dataminr, Inc.",43750.0,0.0,2
TRAFFIC & PARKING CONTROL CO INC,43284.72,24.0,2
FORD AUDIO-VIDEO SYSTEMS LLC,42185.02,66.0,8
TEXAS A & M ENGINEERING EXPERIMENT STATION,42000.0,2.0,2
MAXSUR,39776.0,8.0,1
STUART C IRBY CO,39717.45,1455.0,6
Power Reps,39144.03,51.0,1
KNOX CO (THE),39138.75,150.0,2
CoreTrace Corporation,39015.75,0.0,1
CONSOLIDATED ELECTRICAL DISTRIBUTERS INC,38664.0,375.0,3
POWELL ELECTRICAL SYSTEMS INC,37607.0,2.0,2
JOHNSON CONTROLS INC,37259.0,0.0,2
Kimberly L McLaughlin,37250.0,0.0,1
STUTTON CORP,36949.9,65.0,1
ANIXTER INC,36291.0,2196.5,29
HAWORTH INC,34646.16,3.0,9
GE INTELLIGENT PLATFORMS INC,34614.34,0.0,1
BAYSCAN TECHNOLOGIES,34070.0,110.0,4
"InterPro Solutions, LLC.",33600.0,0.0,2
MATERA PAPER CO INC,33587.47,535.0,14
KEELING COMPANY,33514.02,29.0,3
RPBUS LLC,33335.02,0.0,1
GREEN EQUIPMENT CO,32602.0,8.0,2
LEA AID Acquisition Company,31990.16,5.0,3
PCMG INC,31036.11,45.0,25
SUMMERS GROUP INC,30372.17,1318.0,12
Advanced Technology International,30244.5,550.0,1
Database LLC,30000.0,1.0,1
ZOETIS INC,29930.35,0.0,1
"Electronic Data, Inc.",29225.0,0.0,2
DELL MARKETING LP,29151.36,87.0,3
HENRY SCHEIN INC,28836.05,2283.0,16
T & W Tire,28687.82,0.0,1
"Airus Media, Inc.",28595.0,0.0,1
YPS GROUP INC,28181.13,5000.0,6
"Five Points Infrastructure Services, LLC",28120.0,15.0,2
"FarrWest Environmental Supply, Inc.",28088.89,19.0,7
FACILITIES RESOURCE INC,27461.480000000003,12.0,5
3M COMPANY,27420.0,9025.0,2
SAFEWARE INC,27069.75,6.0,3
"Approved Networks, Inc",26874.0,446.0,7
ENTECH SALES & SERVICE INC,25934.0,0.0,1
LESLIE'S POOLMART INC,25721.5,7.0,1
STUART C IRBY COMPANY,25710.300000000003,1230.0,2
DEALERS ELECTRICAL SUPPLY,25211.31,270.0,16
BEST BUY GOV/ED L L C,25074.600000000002,24.0,11
G4 SPATIAL TECHNOLOGIES LLC,24391.71,2.0,2
"Denim Group, Ltd.",24250.0,0.0,1
BAILEY'S FIREARMS COUNTRY INC,24107.24,47.0,1
ODILOTID USA LLC,24000.0,0.0,1
CHANNING BETE COMPANY INC,23382.02,1000.0,4
GAYLORD BROS INC,23379.05,8300.0,10
SOUTHERN COMPUTER WAREHOUSE,23298.77,139.0,13
POLLOCK PAPER DISTRIBUTORS INC,23269.6,770.0,6
LINCOLN EQUIPMENT INC,23264.0,0.0,1
CAPP INC,23257.22,22.0,10
RANGE SERVANT AMERICA INC,23165.0,3.0,4
APAC-TEXAS INC,23014.21,5106.97,12
METRUM TECHNOLOGIES L L C,22750.0,26.0,1
ONETOUCHPOINT SOUTHWEST CORP,22600.0,0.0,1
PUMP & POWER EQUIPMENT LLC,22432.97,0.0,1
AGATI INC,21991.68,0.0,1
SNR Technologies,21989.28,144.0,4
TECHCENTER DESIGN INC,21932.35,1.0,4
SAF-T-BOX LP,21845.0,6.0,2
HAVERDA ENTERPRISES INC,20781.74,10209.56,47
"Hypertrophy Ventures, LLC",20620.4,88.0,8
LONE STAR UNIFORMS INC,20538.65,513.0,3
TEDCOR LLC,20475.0,13.0,1
"STANLEY SECURITY SOLUTIONS, INC",20268.9,1587.0,11
AUSTIN SCREEN PRINTING L P,19743.16,166.0,22
B & H FOTO & ELECTRONICS CORP,19650.47,722.0,18
SIEMENS POSTAL PARCEL & AIRPORT LOGISTICS LLC,19523.02,24.0,5
RECREONICS INC,19466.96,17.0,6
"Earle Kinlaw Asso., Inc.",19206.0,0.0,1
FACILITY SOLUTIONS GROUP INC,18938.57,140.0,28
ABR INDUSTRIES LLC,18930.0,10000.0,1
MILLER UNIFORMS & EMBLEMS INC,18760.59,10120.66,33
APP-ADTECH PROMOTIONAL PRODUCTS INC,18634.75,3600.0,6
"Municipal Valve & Equipment Company, Inc",18450.0,3.0,1
"MOBILE MINI I, INC.",18325.0,0.0,6
"Summus Industries, Inc.",18047.54,24.0,13
PROMOTIONS AT WORK INC,18005.0,20000.0,2
TEXAS DEPARTMENT OF PUBLIC SAFETY,17875.0,0.0,18
SUMMIT ELECTRIC SUPPLY CO INC,17868.63,1638.0,18
DOOLEY TACKABERRY INC,17850.95,6.0,11
"Atera Prime, Inc.",17820.0,0.0,2
BRODART CO,17725.55,542.0,8
BAT CITY INC,17463.5,11812.0,7
PURVIS INDUSTRIES LTD,16899.8,332.0,3
"MSP Holdings, LLC",16646.0,0.0,3
CITRIX SYSTEMS INC,16187.5,33.0,4
"Strouhal Tire Recapping Plant, Inc",16063.560000000001,0.0,2
Accredited Lock & Door Hardware Co.,16022.0,23.0,8
Workplace Solutions,15819.57,3.0,4
AUSTIN CRUSHED STONE CO INC,15812.789999999999,760.94,2
Trillium Development Ltd Co,15580.0,10250.0,1
John C Strider,15549.4,0.0,1
"C&L Sales, Inc.",15451.640000000001,126.0,25
ODESSA PUMPS & EQUIPMENT INC,15364.15,10.0,8
iRise,15269.0,0.0,2
"Grayshift, LLC",15030.0,1.0,1
GT DISTRIBUTORS INC,14980.880000000001,3182.14,19
POWER LINE SYSTEMS INC,14778.0,0.0,1
