LGL_NM,Total_ITM_TOT_AM,Total_QUANTITY,Count_PURCHASE_ORDER
SILSBEE FORD INC,2637052.23,95.0,40
GRAPEVINE DODGE CHRYSLER JEEP LLC,1982178.0,39.0,16
CALDWELL COUNTRY CHEVROLET,1849548.0,71.0,42
PHILPOTT MOTORS LTD,1660720.13,57.0,23
RDO EQUIPMENT CO,892818.35,8.0,8
TEXAN WASTE EQUIPMENT INC,869462.8400000001,10.0,6
HAVERDA ENTERPRISES INC,361848.16,102621.08,1123
OSBURN MATERIALS INC,347562.12,169.12,2
REMOTEC INC,320074.0,11.0,11
"Neese Materials, Inc.",317085.54,0.0,1
KBS ELECTRICAL DISTRIBUTORS INC,226907.38999999998,75605.0,28
MAGNUM CUSTOM TRAILER MFG CO INC,178507.52,18.0,14
Twincrest Inc.,175950.0,0.0,1
JOHN DEERE SHARED SERVICES INC,153508.6,2.0,2
CLARK EQUIPMENT COMPANY,148126.1,4.0,3
MILLER UNIFORMS & EMBLEMS INC,146521.16,645.0,56
TECHLINE INC,122467.48,6486.0,20
HOLT TEXAS LTD,113784.0,1.0,1
Sunbelt Supply LLC,95389.65,8411.0,103
HENRY SCHEIN INC,86801.39,10098.0,13
W W GRAINGER INC,81238.42,11024.0,340
GT DISTRIBUTORS INC,80569.1,2227.7,47
MERCK SHARP & DOHME CORP,69840.65,0.0,8
LAERDAL MEDICAL CORP,66850.25,1741.0,81
CASCO INDUSTRIES INC,63333.09,211.0,6
GULF COAST PAPER CO INC,60618.45,2948.0,66
ACE 1 POWER EQUIPMENT,57680.0,79.0,2
LONGHORN INTERNATIONAL TRUCKS LTD,55474.0,1.0,1
UTILITY TRUCK EQUIPMENT CO    L L C,49220.86,1.0,1
Polaris Sales Inc,47981.76,3.0,3
CAP Fleet Upfitters,47457.64,0.0,1
"Xylem Water Solutions USA, Inc",45562.15,10.0,5
TEXAS HIGHWAY PRODUCTS LTD,44433.93,3208.0,26
PRECISION DELTA CORP,43911.46,30145.0,4
SID TOOL CO INC,42844.39,10401.0,161
TASER INT'L,42571.96,6.0,5
SMITHKLINE BEECHAM CORPORATION,42194.6,0.0,4
TECHLINE PIPE LP,41568.51,1909.0,33
AFMA INC,40323.85,140.0,27
MATERA PAPER CO INC,40305.21,2021.0,26
AUSTIN TRUCK & EQUIPMENT INC LTD,39418.21,1.0,3
ALTIVIA CORPORATION,39287.5,70.0,2
PRIESTER-MELL & NICHOLSON INC,38520.23,13834.0,18
FERGUSON ENTERPRISES INC,38516.899999999994,2724.0,17
SOUTHWEST GEO-SOLUTIONS INC,37706.42,0.0,3
BOUND TREE MEDICAL L L C,36910.09,6980.0,14
Nicolas Enterprises,36043.0,3.0,2
FLINT TRADING INC,35755.08,603.0,5
FUSION SERVICES LTD,35186.2,3.0,4
Genetec Inc.,33443.93,1.0,2
POWER SUPPLY INC,32764.5,555.0,12
TBFC LLC,31063.0,0.0,1
RELM Wireless Corporation,30690.0,20.0,1
"Alexander Street Press, LLC",30150.0,0.0,1
HD SUPPLY WATERWORKS LTD,29835.19,3126.0,23
ITERIS INC,29685.0,34.0,5
ACT PIPE & SUPPLY INC,26296.27,981.0,17
CC LYNCH & ASSOC INC,26050.0,0.0,1
Hill Country Site Supply LLC,24937.5,6650.0,1
Grid Training Corporation,23878.8,49.0,2
"Earle Kinlaw Asso., Inc.",22998.09,1.0,1
ICOM AMERICA INC,21974.8,20.0,1
